ID,Battle ID,Battle Type,Battle Type ID,Battle Name,Game platform,Missions,Release date,Last updated,Creator(s),Average rating,Reviews,Bug reports,Times completed,Patches used,Patch IDs,Battle URL,Download Link,Folder Location,Filename,Path,Ship Type,Flight Group Name
2,TIE-TC 2,TIE-TC,2,Strike at Calamari,TIE Fighter,6,7/16/1995,9/9/2003,CM Andrew,3.4,34,1,875,None,,https://tc.emperorshammer.org/download.php?id=2&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC2.zip,C:\Users\kevin\Documents\Projects\EH\TIETC2,B1M6GM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC2\B1M6GM.TIE,TIE Advanced,Epsilon I
3,TIE-TC 3,TIE-TC,3,New Dimensions,TIE Fighter,6,7/30/1995,9/9/2003,LT Thunder,3.2,24,0,914,None,,https://tc.emperorshammer.org/download.php?id=3&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC3.zip,C:\Users\kevin\Documents\Projects\EH\TIETC3,B1M1FM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC3\B1M1FM.TIE,TIE Defender,Alpha-I
3,TIE-TC 3,TIE-TC,3,New Dimensions,TIE Fighter,6,7/30/1995,9/9/2003,LT Thunder,3.2,24,0,914,None,,https://tc.emperorshammer.org/download.php?id=3&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC3.zip,C:\Users\kevin\Documents\Projects\EH\TIETC3,B1M2FM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC3\B1M2FM.TIE,Missile Boat,Gamma-I
3,TIE-TC 3,TIE-TC,3,New Dimensions,TIE Fighter,6,7/30/1995,9/9/2003,LT Thunder,3.2,24,0,914,None,,https://tc.emperorshammer.org/download.php?id=3&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC3.zip,C:\Users\kevin\Documents\Projects\EH\TIETC3,B1M3BM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC3\B1M3BM.TIE,TIE Defender,Delta
3,TIE-TC 3,TIE-TC,3,New Dimensions,TIE Fighter,6,7/30/1995,9/9/2003,LT Thunder,3.2,24,0,914,None,,https://tc.emperorshammer.org/download.php?id=3&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC3.zip,C:\Users\kevin\Documents\Projects\EH\TIETC3,B1M4IM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC3\B1M4IM.TIE,TIE Defender,Epsilon
3,TIE-TC 3,TIE-TC,3,New Dimensions,TIE Fighter,6,7/30/1995,9/9/2003,LT Thunder,3.2,24,0,914,None,,https://tc.emperorshammer.org/download.php?id=3&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC3.zip,C:\Users\kevin\Documents\Projects\EH\TIETC3,B1M5GM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC3\B1M5GM.TIE,TIE Defender,Beta
3,TIE-TC 3,TIE-TC,3,New Dimensions,TIE Fighter,6,7/30/1995,9/9/2003,LT Thunder,3.2,24,0,914,None,,https://tc.emperorshammer.org/download.php?id=3&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC3.zip,C:\Users\kevin\Documents\Projects\EH\TIETC3,B1M6GM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC3\B1M6GM.TIE,TIE Defender,Beta 1
4,TIE-TC 4,TIE-TC,4,Recapture Zaarin's Technology,TIE Fighter,6,12/6/1995,11/19/2013,LT Dorja,2.5,16,0,709,None,,https://tc.emperorshammer.org/download.php?id=4&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC4.zip,C:\Users\kevin\Documents\Projects\EH\TIETC4,B1m1fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC4\B1m1fm.tie,TIE Defender,Alpha I
4,TIE-TC 4,TIE-TC,4,Recapture Zaarin's Technology,TIE Fighter,6,12/6/1995,11/19/2013,LT Dorja,2.5,16,0,709,None,,https://tc.emperorshammer.org/download.php?id=4&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC4.zip,C:\Users\kevin\Documents\Projects\EH\TIETC4,B1m2fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC4\B1m2fm.tie,TIE Defender,Alpha
4,TIE-TC 4,TIE-TC,4,Recapture Zaarin's Technology,TIE Fighter,6,12/6/1995,11/19/2013,LT Dorja,2.5,16,0,709,None,,https://tc.emperorshammer.org/download.php?id=4&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC4.zip,C:\Users\kevin\Documents\Projects\EH\TIETC4,B1m3bm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC4\B1m3bm.tie,TIE Defender,Alpha I
4,TIE-TC 4,TIE-TC,4,Recapture Zaarin's Technology,TIE Fighter,6,12/6/1995,11/19/2013,LT Dorja,2.5,16,0,709,None,,https://tc.emperorshammer.org/download.php?id=4&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC4.zip,C:\Users\kevin\Documents\Projects\EH\TIETC4,B1m4im.tie,C:\Users\kevin\Documents\Projects\EH\TIETC4\B1m4im.tie,Missile Boat,Alpha
4,TIE-TC 4,TIE-TC,4,Recapture Zaarin's Technology,TIE Fighter,6,12/6/1995,11/19/2013,LT Dorja,2.5,16,0,709,None,,https://tc.emperorshammer.org/download.php?id=4&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC4.zip,C:\Users\kevin\Documents\Projects\EH\TIETC4,B1m5gm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC4\B1m5gm.tie,TIE Advanced,Tau
4,TIE-TC 4,TIE-TC,4,Recapture Zaarin's Technology,TIE Fighter,6,12/6/1995,11/19/2013,LT Dorja,2.5,16,0,709,None,,https://tc.emperorshammer.org/download.php?id=4&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC4.zip,C:\Users\kevin\Documents\Projects\EH\TIETC4,B1M6GM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC4\B1M6GM.TIE,TIE Defender,Alpha
5,TIE-TC 5,TIE-TC,5,Pirate Uprising,TIE Fighter,6,4/7/1995,9/23/2007,CM Adams,3.7,18,2,717,None,,https://tc.emperorshammer.org/download.php?id=5&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC5.zip,C:\Users\kevin\Documents\Projects\EH\TIETC5,B1M1FM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC5\B1M1FM.TIE,Missile Boat,Gamma I
5,TIE-TC 5,TIE-TC,5,Pirate Uprising,TIE Fighter,6,4/7/1995,9/23/2007,CM Adams,3.7,18,2,717,None,,https://tc.emperorshammer.org/download.php?id=5&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC5.zip,C:\Users\kevin\Documents\Projects\EH\TIETC5,B1M2FM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC5\B1M2FM.TIE,TIE Defender,Epsilon I
5,TIE-TC 5,TIE-TC,5,Pirate Uprising,TIE Fighter,6,4/7/1995,9/23/2007,CM Adams,3.7,18,2,717,None,,https://tc.emperorshammer.org/download.php?id=5&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC5.zip,C:\Users\kevin\Documents\Projects\EH\TIETC5,B1M3BM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC5\B1M3BM.TIE,TIE Defender,Lambda I
5,TIE-TC 5,TIE-TC,5,Pirate Uprising,TIE Fighter,6,4/7/1995,9/23/2007,CM Adams,3.7,18,2,717,None,,https://tc.emperorshammer.org/download.php?id=5&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC5.zip,C:\Users\kevin\Documents\Projects\EH\TIETC5,B1M4IM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC5\B1M4IM.TIE,TIE Defender,Beta I
5,TIE-TC 5,TIE-TC,5,Pirate Uprising,TIE Fighter,6,4/7/1995,9/23/2007,CM Adams,3.7,18,2,717,None,,https://tc.emperorshammer.org/download.php?id=5&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC5.zip,C:\Users\kevin\Documents\Projects\EH\TIETC5,B1M5GM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC5\B1M5GM.TIE,TIE Defender,Delta I
5,TIE-TC 5,TIE-TC,5,Pirate Uprising,TIE Fighter,6,4/7/1995,9/23/2007,CM Adams,3.7,18,2,717,None,,https://tc.emperorshammer.org/download.php?id=5&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC5.zip,C:\Users\kevin\Documents\Projects\EH\TIETC5,B1M6GM.TIE,C:\Users\kevin\Documents\Projects\EH\TIETC5\B1M6GM.TIE,TIE Defender,Alpha I
6,TIE-TC 6,TIE-TC,6,Destruction,TIE Fighter,5,5/17/1995,9/10/2003,Hornedog,1.5,36,0,720,None,,https://tc.emperorshammer.org/download.php?id=6&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC6.zip,C:\Users\kevin\Documents\Projects\EH\TIETC6,B1m1fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC6\B1m1fm.tie,TIE Defender,Beta
6,TIE-TC 6,TIE-TC,6,Destruction,TIE Fighter,5,5/17/1995,9/10/2003,Hornedog,1.5,36,0,720,None,,https://tc.emperorshammer.org/download.php?id=6&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC6.zip,C:\Users\kevin\Documents\Projects\EH\TIETC6,b1m2fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC6\b1m2fm.tie,TIE Defender,Alpha
6,TIE-TC 6,TIE-TC,6,Destruction,TIE Fighter,5,5/17/1995,9/10/2003,Hornedog,1.5,36,0,720,None,,https://tc.emperorshammer.org/download.php?id=6&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC6.zip,C:\Users\kevin\Documents\Projects\EH\TIETC6,B1m3bm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC6\B1m3bm.tie,TIE Defender,Beta
6,TIE-TC 6,TIE-TC,6,Destruction,TIE Fighter,5,5/17/1995,9/10/2003,Hornedog,1.5,36,0,720,None,,https://tc.emperorshammer.org/download.php?id=6&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC6.zip,C:\Users\kevin\Documents\Projects\EH\TIETC6,B1m4im.tie,C:\Users\kevin\Documents\Projects\EH\TIETC6\B1m4im.tie,TIE Defender,Alpha
6,TIE-TC 6,TIE-TC,6,Destruction,TIE Fighter,5,5/17/1995,9/10/2003,Hornedog,1.5,36,0,720,None,,https://tc.emperorshammer.org/download.php?id=6&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC6.zip,C:\Users\kevin\Documents\Projects\EH\TIETC6,B1m5gm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC6\B1m5gm.tie,TIE Defender,Beta
7,TIE-TC 7,TIE-TC,7,Betrayal,TIE Fighter,5,4/14/1996,9/10/2003,COL Gyssler,2.2,23,0,710,None,,https://tc.emperorshammer.org/download.php?id=7&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC7.zip,C:\Users\kevin\Documents\Projects\EH\TIETC7,B1m1fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC7\B1m1fm.tie,TIE Defender,Alpha
7,TIE-TC 7,TIE-TC,7,Betrayal,TIE Fighter,5,4/14/1996,9/10/2003,COL Gyssler,2.2,23,0,710,None,,https://tc.emperorshammer.org/download.php?id=7&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC7.zip,C:\Users\kevin\Documents\Projects\EH\TIETC7,B1m2fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC7\B1m2fm.tie,TIE Defender,Alpha
7,TIE-TC 7,TIE-TC,7,Betrayal,TIE Fighter,5,4/14/1996,9/10/2003,COL Gyssler,2.2,23,0,710,None,,https://tc.emperorshammer.org/download.php?id=7&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC7.zip,C:\Users\kevin\Documents\Projects\EH\TIETC7,B1m3bm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC7\B1m3bm.tie,TIE Defender,Alpha
7,TIE-TC 7,TIE-TC,7,Betrayal,TIE Fighter,5,4/14/1996,9/10/2003,COL Gyssler,2.2,23,0,710,None,,https://tc.emperorshammer.org/download.php?id=7&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC7.zip,C:\Users\kevin\Documents\Projects\EH\TIETC7,B1m4im.tie,C:\Users\kevin\Documents\Projects\EH\TIETC7\B1m4im.tie,TIE Defender,Alpha
7,TIE-TC 7,TIE-TC,7,Betrayal,TIE Fighter,5,4/14/1996,9/10/2003,COL Gyssler,2.2,23,0,710,None,,https://tc.emperorshammer.org/download.php?id=7&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC7.zip,C:\Users\kevin\Documents\Projects\EH\TIETC7,b1m5gm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC7\b1m5gm.tie,TIE Defender,Alpha
8,TIE-TC 8,TIE-TC,8,Strike Against the Pirates,TIE Fighter,5,7/22/1996,12/8/2007,LT Katarn,2.7,14,0,592,None,,https://tc.emperorshammer.org/download.php?id=8&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC8.zip,C:\Users\kevin\Documents\Projects\EH\TIETC8,b1m1fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC8\b1m1fm.tie,TIE Defender,Alpha 
8,TIE-TC 8,TIE-TC,8,Strike Against the Pirates,TIE Fighter,5,7/22/1996,12/8/2007,LT Katarn,2.7,14,0,592,None,,https://tc.emperorshammer.org/download.php?id=8&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC8.zip,C:\Users\kevin\Documents\Projects\EH\TIETC8,B1m2fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC8\B1m2fm.tie,TIE Defender,Alpha
8,TIE-TC 8,TIE-TC,8,Strike Against the Pirates,TIE Fighter,5,7/22/1996,12/8/2007,LT Katarn,2.7,14,0,592,None,,https://tc.emperorshammer.org/download.php?id=8&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC8.zip,C:\Users\kevin\Documents\Projects\EH\TIETC8,B1m3bm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC8\B1m3bm.tie,TIE Defender,Alpha
8,TIE-TC 8,TIE-TC,8,Strike Against the Pirates,TIE Fighter,5,7/22/1996,12/8/2007,LT Katarn,2.7,14,0,592,None,,https://tc.emperorshammer.org/download.php?id=8&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC8.zip,C:\Users\kevin\Documents\Projects\EH\TIETC8,B1m4im.tie,C:\Users\kevin\Documents\Projects\EH\TIETC8\B1m4im.tie,Missile Boat,Alpha
8,TIE-TC 8,TIE-TC,8,Strike Against the Pirates,TIE Fighter,5,7/22/1996,12/8/2007,LT Katarn,2.7,14,0,592,None,,https://tc.emperorshammer.org/download.php?id=8&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC8.zip,C:\Users\kevin\Documents\Projects\EH\TIETC8,B1m5gm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC8\B1m5gm.tie,Missile Boat,Alpha
9,TIE-TC 9,TIE-TC,9,Tracking the Defectors,TIE Fighter,5,3/3/1995,7/5/2014,GA Ronin,1.5,28,1,681,None,,https://tc.emperorshammer.org/download.php?id=9&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC9.zip,C:\Users\kevin\Documents\Projects\EH\TIETC9,b1m1fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC9\b1m1fm.tie,TIE Defender,Alpha-1
9,TIE-TC 9,TIE-TC,9,Tracking the Defectors,TIE Fighter,5,3/3/1995,7/5/2014,GA Ronin,1.5,28,1,681,None,,https://tc.emperorshammer.org/download.php?id=9&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC9.zip,C:\Users\kevin\Documents\Projects\EH\TIETC9,B1m2fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC9\B1m2fm.tie,TIE Advanced,Iota-2
9,TIE-TC 9,TIE-TC,9,Tracking the Defectors,TIE Fighter,5,3/3/1995,7/5/2014,GA Ronin,1.5,28,1,681,None,,https://tc.emperorshammer.org/download.php?id=9&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC9.zip,C:\Users\kevin\Documents\Projects\EH\TIETC9,B1m3bm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC9\B1m3bm.tie,TIE Advanced,Mu-1
9,TIE-TC 9,TIE-TC,9,Tracking the Defectors,TIE Fighter,5,3/3/1995,7/5/2014,GA Ronin,1.5,28,1,681,None,,https://tc.emperorshammer.org/download.php?id=9&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC9.zip,C:\Users\kevin\Documents\Projects\EH\TIETC9,B1m4im.tie,C:\Users\kevin\Documents\Projects\EH\TIETC9\B1m4im.tie,TIE Defender,Delta-1
9,TIE-TC 9,TIE-TC,9,Tracking the Defectors,TIE Fighter,5,3/3/1995,7/5/2014,GA Ronin,1.5,28,1,681,None,,https://tc.emperorshammer.org/download.php?id=9&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC9.zip,C:\Users\kevin\Documents\Projects\EH\TIETC9,B1m5gm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC9\B1m5gm.tie,TIE Defender,Alpha-1
10,TIE-TC 10,TIE-TC,10,Battle for the Death Star,TIE Fighter,5,5/19/1995,11/19/2013,CPT Killer,3.1,29,0,910,None,,https://tc.emperorshammer.org/download.php?id=10&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC10.zip,C:\Users\kevin\Documents\Projects\EH\TIETC10,b1m1fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC10\b1m1fm.tie,TIE Defender,Lambda
10,TIE-TC 10,TIE-TC,10,Battle for the Death Star,TIE Fighter,5,5/19/1995,11/19/2013,CPT Killer,3.1,29,0,910,None,,https://tc.emperorshammer.org/download.php?id=10&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC10.zip,C:\Users\kevin\Documents\Projects\EH\TIETC10,b1m2fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC10\b1m2fm.tie,TIE Defender,Lambda
10,TIE-TC 10,TIE-TC,10,Battle for the Death Star,TIE Fighter,5,5/19/1995,11/19/2013,CPT Killer,3.1,29,0,910,None,,https://tc.emperorshammer.org/download.php?id=10&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC10.zip,C:\Users\kevin\Documents\Projects\EH\TIETC10,B1m3bm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC10\B1m3bm.tie,TIE Defender,Alpha
10,TIE-TC 10,TIE-TC,10,Battle for the Death Star,TIE Fighter,5,5/19/1995,11/19/2013,CPT Killer,3.1,29,0,910,None,,https://tc.emperorshammer.org/download.php?id=10&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC10.zip,C:\Users\kevin\Documents\Projects\EH\TIETC10,B1m4im.tie,C:\Users\kevin\Documents\Projects\EH\TIETC10\B1m4im.tie,TIE Defender,Delta
10,TIE-TC 10,TIE-TC,10,Battle for the Death Star,TIE Fighter,5,5/19/1995,11/19/2013,CPT Killer,3.1,29,0,910,None,,https://tc.emperorshammer.org/download.php?id=10&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC10.zip,C:\Users\kevin\Documents\Projects\EH\TIETC10,B1m5gm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC10\B1m5gm.tie,TIE Defender,Beta
11,TIE-TC 11,TIE-TC,11,Renegade Battle,TIE Fighter,5,5/5/1995,9/9/2003,LT Shekinah,1.7,9,1,499,None,,https://tc.emperorshammer.org/download.php?id=11&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC11.zip,C:\Users\kevin\Documents\Projects\EH\TIETC11,b1m1fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC11\b1m1fm.tie,TIE Defender,DarkAngel 
11,TIE-TC 11,TIE-TC,11,Renegade Battle,TIE Fighter,5,5/5/1995,9/9/2003,LT Shekinah,1.7,9,1,499,None,,https://tc.emperorshammer.org/download.php?id=11&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC11.zip,C:\Users\kevin\Documents\Projects\EH\TIETC11,B1m2fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC11\B1m2fm.tie,TIE Defender,DARKANGEL1
11,TIE-TC 11,TIE-TC,11,Renegade Battle,TIE Fighter,5,5/5/1995,9/9/2003,LT Shekinah,1.7,9,1,499,None,,https://tc.emperorshammer.org/download.php?id=11&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC11.zip,C:\Users\kevin\Documents\Projects\EH\TIETC11,B1m3bm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC11\B1m3bm.tie,TIE Defender,Darkangel
11,TIE-TC 11,TIE-TC,11,Renegade Battle,TIE Fighter,5,5/5/1995,9/9/2003,LT Shekinah,1.7,9,1,499,None,,https://tc.emperorshammer.org/download.php?id=11&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC11.zip,C:\Users\kevin\Documents\Projects\EH\TIETC11,B1m4im.tie,C:\Users\kevin\Documents\Projects\EH\TIETC11\B1m4im.tie,Missile Boat,DarkAngel
11,TIE-TC 11,TIE-TC,11,Renegade Battle,TIE Fighter,5,5/5/1995,9/9/2003,LT Shekinah,1.7,9,1,499,None,,https://tc.emperorshammer.org/download.php?id=11&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC11.zip,C:\Users\kevin\Documents\Projects\EH\TIETC11,b1m5gm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC11\b1m5gm.tie,TIE Defender,DarkAngel
12,TIE-TC 12,TIE-TC,12,Jedi Hunt,TIE Fighter,6,Unknown,3/28/2009,Stelek,3.1,22,0,671,None,,https://tc.emperorshammer.org/download.php?id=12&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC12.zip,C:\Users\kevin\Documents\Projects\EH\TIETC12,B1m1fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC12\B1m1fm.tie,TIE Defender,Alpha
12,TIE-TC 12,TIE-TC,12,Jedi Hunt,TIE Fighter,6,Unknown,3/28/2009,Stelek,3.1,22,0,671,None,,https://tc.emperorshammer.org/download.php?id=12&type=info,https://tc.emperorshammer.org/downloads/battles/TIE/TC/TIETC12.zip,C:\Users\kevin\Documents\Projects\EH\TIETC12,B1m2fm.tie,C:\Users\kevin\Documents\Projects\EH\TIETC12\B1m2fm.tie,TIE Defender,Alpha
